"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) New build","Percentage change (yearly) Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-07,62652,monthly,12.57,6.53,2021-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-08,78208,monthly,8.92,9.22,2021-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-09,123685,monthly,14.97,11.26,2021-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-10,60219,monthly,19.61,7.65,2021-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-11,70207,monthly,19.57,8.03,2021-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-12,70342,monthly,15.99,8.16,2021-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-01,50950,monthly,13.38,9.05,2022-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-02,56103,monthly,24.0,9.47,2022-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-03,57113,monthly,26.53,8.39,2022-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-04,,monthly,,,2022-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-05,,monthly,,,2022-05-01
